name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,"runtime,,"
The Bride,PG-13,Fantasy,1985,"August 16, 1985 (United States)",5.3,2900,FRANC RODDAM,Lloyd Fonvielle,Sting,UNITED KINGDOM,13000000,3558669.0,Colgems Productions Ltd.,"118.0,"
Morons from Outer Space,PG-13,Comedy,1985,"September 20, 1985 (United States)",4.5,1800,MIKE HODGES,Griff Rhys Jones,Mel Smith,UNITED KINGDOM,0,441137.0,Calendar Productions,"90.0,"
Godzilla 1985,PG,Action,1985,"August 23, 1985 (United States)",6.2,6100,DIRECTORS,Reuben Bercovitch,Raymond Burr,JAPAN,2000000,4116395.0,Toho Company,"87.0,"
Plenty,R,Drama,1985,"September 20, 1985 (United States)",6.0,2800,FRED SCHEPISI,David Hare,Meryl Streep,UNITED KINGDOM,10000000,6148000.0,Pressman Productions,"121.0,"
King David,PG-13,Adventure,1985,"March 29, 1985 (United States)",5.3,2100,BRUCE BERESFORD,Andrew Birkin,Richard Gere,UNITED KINGDOM,22000000,5111099.0,Barclays Mercantile Industrial Finance,"114.0,"
The Trip to Bountiful,PG,Drama,1985,"January 24, 1986 (United States)",7.5,4300,PETER MASTERSON,Horton Foote,Geraldine Page,UNITED STATES,0,7491903.0,Bountiful Film Partners,"108.0,"
Missing in Action 2: The Beginning,R,Action,1985,"March 1, 1985 (United States)",5.3,7900,LANCE HOOL,Steve Bing,Chuck Norris,UNITED STATES,2410000,10755447.0,The Cannon Group,"100.0,"
The Protector,R,Action,1985,"August 23, 1985 (United States)",5.7,4200,JAMES GLICKENHAUS,James Glickenhaus,Jackie Chan,HONG KONG,5000000,981817.0,Eurasia Investments,"91.0,"
The Mean Season,R,Crime,1985,"February 15, 1985 (United States)",6.1,3800,PHILLIP BORSOS,John Katzenbach,Kurt Russell,UNITED STATES,7000000,4349446.0,David Foster Productions,"103.0,"
Turk 182,PG-13,Comedy,1985,"February 15, 1985 (United States)",6.0,3700,BOB CLARK,James Gregory Kingston,Timothy Hutton,UNITED STATES,0,3594997.0,Interscope Communications,"102.0,"
The Official Story,Not Rated,Drama,1985,"November 8, 1985 (United States)",7.8,8800,LUIS PUENZO,Aída Bortnik,Norma Aleandro,ARGENTINA,0,69832.0,Historias Cinematograficas Cinemania,"112.0,"
Krush Groove,R,Comedy,1985,"October 25, 1985 (United States)",6.5,2900,MICHAEL SCHULTZ,Ralph Farquhar,Sheila E.,UNITED STATES,3000000,11052713.0,Crystalite Productions,"97.0,"
He-Man and She-Ra: The Secret of the Sword,G,Animation,1985,"March 22, 1985 (United States)",7.3,2600,DIRECTORS,Larry DiTillio,John Erwin,UNITED STATES,2000000,7660857.0,Filmation Associates,"100.0,"
Warning Sign,R,Drama,1985,"August 23, 1985 (United States)",6.1,2300,HAL BARWOOD,Hal Barwood,Sam Waterston,UNITED STATES,0,1918117.0,SLM Production Group,"99.0,"
Creator,R,Comedy,1985,"September 20, 1985 (United States)",6.2,3000,IVAN PASSER,Jeremy Leven,Peter O'Toole,UNITED STATES,0,5349607.0,Kings Road Entertainment,"107.0,"
Taipei Story,Not Rated,Drama,1985,1985 (Taiwan),7.7,2500,EDWARD YANG,T'ien-wen Chu,Chin Tsai,TAIWAN,0,35336.0,Evergreen Film Company,"119.0,,"
Otac na sluzbenom putu,R,Drama,1985,"October 11, 1985 (United States)",7.8,9000,EMIR KUSTURICA,Abdulah Sidran,Moreno D'E Bartolli,YUGOSLAVIA,0,34751.0,Centar Film,"136.0,"
The Aviator,PG,Adventure,1985,"March 15, 1985 (United States)",5.5,1200,GEORGE MILLER,Ernest K. Gann,Christopher Reeve,UNITED STATES,0,1304192.0,United Artists,"96.0,"
Starchaser: The Legend of Orin,PG,Animation,1985,"November 22, 1985 (United States)",6.5,2100,STEVEN HAHN,Jeffrey Scott,Joe Colligan,SOUTH KOREA,15000000,3360800.0,Young Sung Production Co.,"100.0,"
Maxie,PG,Comedy,1985,"September 27, 1985 (United States)",5.4,993,PAUL AARON,Jack Finney,Glenn Close,UNITED STATES,0,2564278.0,Aurora,"98.0,"
DEFCON-4,R,Action,1985,"March 15, 1985 (United States)",4.5,1800,PAUL DONOVAN,Paul Donovan,Lenore Zann,CANADA,0,1057064.0,New World Pictures,"88.0,"
The Care Bears Movie,G,Animation,1985,"March 29, 1985 (United States)",5.7,5200,ARNA SELZNICK,Peter Sauder,Georgia Engel,CANADA,2000000,22934622.0,Nelvana,"77.0,"
Sylvester,PG,Drama,1985,"March 15, 1985 (United States)",6.4,404,TIM HUNTER,Carol Sobieski,Richard Farnsworth,UNITED STATES,0,385687.0,Columbia Pictures,"104.0,"
Radioactive Dreams,R,Action,1985,"September 19, 1986 (United States)",5.6,1600,ALBERT PYUN,Albert Pyun,John Stockwell,MEXICO,0,220038.0,ITM Productions,"98.0,"
Twice in a Lifetime,R,Drama,1985,"November 8, 1985 (United States)",6.5,1000,BUD YORKIN,Colin Welland,Gene Hackman,UNITED STATES,8000000,8402424.0,Bud Yorkin Productions,"111.0,"
Dance with a Stranger,R,Biography,1985,"August 9, 1985 (United States)",6.7,2500,MIKE NEWELL,Shelagh Delaney,Miranda Richardson,UNITED KINGDOM,0,2174622.0,Goldcrest Films International,"96.0,"
Water,PG-13,Adventure,1985,"April 18, 1986 (United States)",6.1,2300,DICK CLEMENT,Dick Clement,Michael Caine,UNITED KINGDOM,0,1256862.0,HandMade Films,"115.0,"
One Magic Christmas,G,Family,1985,"November 22, 1985 (United States)",6.5,3400,PHILLIP BORSOS,Thomas Meehan,Mary Steenburgen,CANADA,0,13677222.0,Walt Disney Pictures,"89.0,"
O.C. and Stiggs,R,Comedy,1985,1985 (United States),5.4,1200,ROBERT ALTMAN,Tod Carroll,Daniel Jenkins,UNITED STATES,7000000,29815.0,Metro-Goldwyn-Mayer (MGM),"109.0,,"
The Good Father,R,Drama,1985,"February 11, 1987 (United States)",6.2,511,MIKE NEWELL,Peter Prince,Anthony Hopkins,UNITED KINGDOM,0,421201.0,Channel Four Films,"90.0,"
Fever Pitch,R,Drama,1985,"November 22, 1985 (United States)",4.1,243,RICHARD BROOKS,Richard Brooks,Ryan O'Neal,UNITED STATES,7000000,618847.0,Metro-Goldwyn-Mayer (MGM),"96.0,"
The Doctor and the Devils,R,Crime,1985,"October 4, 1985 (United States)",6.1,1100,FREDDIE FRANCIS,Dylan Thomas,Timothy Dalton,UNITED KINGDOM,0,147070.0,Brooksfilms,"93.0,"
Head Office,PG-13,Comedy,1985,"January 3, 1986 (United States)",5.4,1400,KEN FINKLEMAN,Ken Finkleman,Judge Reinhold,UNITED STATES,0,3393807.0,Guber-Peters Company,"90.0,"
Eleni,PG,Drama,1985,"December 21, 1985 (Japan)",7.0,1400,PETER YATES,Nicholas Gage,Kate Nelligan,UNITED STATES,0,305102.0,CBS Entertainment Production,"114.0,"
Dreamchild,PG,Biography,1985,"October 4, 1985 (United States)",6.8,1500,GAVIN MILLAR,Dennis Potter,Coral Browne,UNITED KINGDOM,0,1215923.0,PfH Ltd.,"94.0,"
Defense of the Realm,PG,Thriller,1985,"November 21, 1986 (United States)",6.5,2100,DAVID DRURY,Martin Stellman,Gabriel Byrne,UNITED KINGDOM,0,750000.0,The Rank Organisation,"96.0,"
Bad Medicine,PG-13,Comedy,1985,"November 22, 1985 (United States)",4.6,1200,HARVEY MILLER,Steven Horowitz,Steve Guttenberg,UNITED STATES,0,2685453.0,Lantana Productions,"98.0,"
Wetherby,R,Drama,1985,"July 19, 1985 (United States)",6.8,1400,DAVID HARE,David Hare,Vanessa Redgrave,UNITED KINGDOM,0,1299985.0,Film Four International,"102.0,"
Compromising Positions,R,Comedy,1985,"August 30, 1985 (United States)",5.9,953,FRANK PERRY,Susan Isaacs,Susan Sarandon,UNITED STATES,0,12531831.0,Blackhawk Productions,"99.0,"
Rainbow Brite and the Star Stealer,G,Animation,1985,"November 15, 1985 (United States)",6.9,1100,BERNARD DEYRIÈS,Jean Chalopin,Bettina Bush,UNITED STATES,0,4889971.0,DIC Entertainment,"85.0,"
Three Men and a Cradle,PG-13,Comedy,1985,"April 25, 1986 (United States)",6.6,3400,COLINE SERREAU,Coline Serreau,Roland Giraud,FRANCE,0,2052466.0,Flach Film,"106.0,"
Rappin',PG,Drama,1985,"May 10, 1985 (United States)",4.1,434,JOEL SILBERG,Adam Friedman,Mario Van Peebles,UNITED STATES,2000000,2864844.0,Cannon Pictures,"92.0,"
Certain Fury,R,Action,1985,"March 1, 1985 (United States)",5.2,487,STEPHEN GYLLENHAAL,Michael Jacobs,Tatum O'Neal,UNITED STATES,0,1381091.0,Entertainment Events,"87.0,"
Code Name: Emerald,PG,Action,1985,"September 27, 1985 (United States)",5.9,934,JONATHAN SANGER,Ronald Bass,Ed Harris,UNITED STATES,0,561548.0,Metro-Goldwyn-Mayer (MGM),"95.0,"
Colonel Redl,R,Biography,1985,"October 4, 1985 (United States)",7.5,2800,ISTVÁN SZABÓ,István Szabó,Klaus Maria Brandauer,YUGOSLAVIA,0,2357.0,Manfred Durniok Filmproduktion,"144.0,"
Marie,PG-13,Biography,1985,"September 27, 1985 (United States)",6.7,861,ROGER DONALDSON,Peter Maas,Sissy Spacek,UNITED STATES,0,2507995.0,Dino De Laurentiis Company,"112.0,"
Movers & Shakers,PG,Comedy,1985,"March 31, 1988 (Italy)",4.2,468,WILLIAM ASHER,Charles Grodin,Walter Matthau,UNITED STATES,0,372438.0,Asher-Grodin Productions,"80.0,"
La Cage aux Folles 3: The Wedding,PG-13,Comedy,1985,"February 14, 1986 (United States)",4.7,760,GEORGES LAUTNER,Philippe Nicaud,Michel Serrault,FRANCE,0,345280.0,Columbia Films,"87.0,"
Turtle Diary,PG,Comedy,1985,"February 14, 1986 (United States)",6.9,726,JOHN IRVIN,Russell Hoban,Glenda Jackson,UNITED KINGDOM,0,2156772.0,Britannic,"97.0,"
Joshua Then and Now,R,Comedy,1985,"September 20, 1985 (United States)",6.6,545,TED KOTCHEFF,Mordecai Richler,James Woods,CANADA,0,542420.0,Films RSL,"119.0,"
The Girl in the Picture,PG-13,Comedy,1985,"July 5, 1985 (United Kingdom)",6.3,155,CARY PARKER,Cary Parker,John Gordon Sinclair,UNITED KINGDOM,0,202428.0,Antonine Films,"84.0,"
Here Come the Littles,G,Animation,1985,"May 24, 1985 (United States)",6.9,207,BERNARD DEYRIÈS,Heywood Kling,Jimmy Keegan,UNITED STATES,0,6565359.0,ABC Entertainment,"72.0,"
Top Gun,PG,Action,1986,"May 16, 1986 (United States)",6.9,306000,TONY SCOTT,Jim Cash,Tom Cruise,UNITED STATES,15000000,357288178.0,Paramount Pictures,"110.0,"
Aliens,R,Action,1986,"July 18, 1986 (United States)",8.3,668000,JAMES CAMERON,James Cameron,Sigourney Weaver,UNITED KINGDOM,18500000,131060248.0,Twentieth Century Fox,"137.0,"
Stand by Me,R,Adventure,1986,"August 22, 1986 (United States)",8.1,374000,ROB REINER,Stephen King,Wil Wheaton,UNITED STATES,8000000,52287414.0,Columbia Pictures,"89.0,"
Ferris Bueller's Day Off,PG-13,Comedy,1986,"June 11, 1986 (United States)",7.8,330000,JOHN HUGHES,John Hughes,Matthew Broderick,UNITED STATES,6000000,70720215.0,Paramount Pictures,"103.0,"
Crocodile Dundee,PG-13,Action,1986,"September 26, 1986 (United States)",6.6,96000,PETER FAIMAN,Paul Hogan,Paul Hogan,AUSTRALIA,8800000,328203506.0,Rimfire Films,"97.0,"
Labyrinth,PG,Adventure,1986,"June 27, 1986 (United States)",7.4,127000,JIM HENSON,Dennis Lee,David Bowie,UNITED KINGDOM,25000000,13915874.0,Henson Associates (HA),"101.0,"
Highlander,R,Action,1986,"March 7, 1986 (United States)",7.1,127000,RUSSELL MULCAHY,Gregory Widen,Christopher Lambert,UNITED KINGDOM,16000000,5900712.0,Thorn EMI Screen Entertainment,"116.0,"
Big Trouble in Little China,PG-13,Action,1986,"July 2, 1986 (United States)",7.3,128000,JOHN CARPENTER,Gary Goldman,Kurt Russell,UNITED STATES,25000000,11100577.0,Twentieth Century Fox,"99.0,"
Pretty in Pink,PG-13,Comedy,1986,"February 28, 1986 (United States)",6.8,76000,HOWARD DEUTCH,John Hughes,Molly Ringwald,UNITED STATES,9000000,40479480.0,Paramount Pictures,"97.0,"
Platoon,R,Drama,1986,"February 6, 1987 (United States)",8.1,389000,OLIVER STONE,Oliver Stone,Charlie Sheen,UNITED STATES,6000000,138545632.0,Hemdale,"120.0,"
Blue Velvet,R,Drama,1986,"October 23, 1986 (Italy)",7.7,186000,DAVID LYNCH,David Lynch,Isabella Rossellini,UNITED STATES,6000000,8618766.0,De Laurentiis Entertainment Group (DEG),"120.0,"
Manhunter,R,Crime,1986,"August 15, 1986 (United States)",7.2,68000,MICHAEL MANN,Thomas Harris,William Petersen,UNITED STATES,15000000,8621783.0,De Laurentiis Entertainment Group (DEG),"120.0,"
Howard the Duck,PG,Action,1986,"August 1, 1986 (United States)",4.7,44000,WILLARD HUYCK,Steve Gerber,Lea Thompson,UNITED STATES,37000000,37962774.0,Universal Pictures,"110.0,"
The Fly,R,Drama,1986,"August 15, 1986 (United States)",7.6,165000,DAVID CRONENBERG,George Langelaan,Jeff Goldblum,UNITED STATES,15000000,60629159.0,SLM Production Group,"96.0,"
Little Shop of Horrors,PG-13,Comedy,1986,"December 19, 1986 (United States)",7.0,68000,FRANK OZ,Howard Ashman,Rick Moranis,UNITED STATES,25000000,38983045.0,The Geffen Company,"94.0,"
The Mosquito Coast,PG,Adventure,1986,"November 26, 1986 (United States)",6.6,28000,PETER WEIR,Paul Theroux,Harrison Ford,UNITED STATES,25000000,14302779.0,The Saul Zaentz Company,"117.0,"
The Karate Kid Part II,PG,Action,1986,"June 20, 1986 (United States)",6.1,82000,JOHN G. AVILDSEN,Robert Mark Kamen,Pat Morita,UNITED STATES,0,115103979.0,Columbia Pictures,"113.0,"
River's Edge,R,Crime,1986,"May 8, 1987 (United States)",7.0,17000,TIM HUNTER,Neal Jimenez,Crispin Glover,UNITED STATES,1900000,4600000.0,Hemdale,"99.0,"
9½ Weeks,R,Drama,1986,"February 21, 1986 (United States)",6.0,39000,ADRIAN LYNE,Elizabeth McNeill,Mickey Rourke,UNITED STATES,17000000,6735922.0,Producers Sales Organization (PSO),"117.0,"
The Golden Child,PG-13,Action,1986,"December 12, 1986 (United States)",6.0,53000,MICHAEL RITCHIE,Dennis Feldman,Eddie Murphy,UNITED STATES,25000000,79817937.0,Paramount Pictures,"94.0,"
Star Trek IV: The Voyage Home,PG,Action,1986,"November 26, 1986 (United States)",7.3,81000,LEONARD NIMOY,Gene Roddenberry,William Shatner,UNITED STATES,25000000,109713132.0,Paramount Pictures,"119.0,"
Short Circuit,PG,Comedy,1986,"May 9, 1986 (United States)",6.7,58000,JOHN BADHAM,S.S. Wilson,Ally Sheedy,UNITED STATES,15000000,40697761.0,TriStar Pictures,"98.0,"
The Delta Force,R,Action,1986,"February 14, 1986 (United States)",5.6,19000,MENAHEM GOLAN,James Bruner,Chuck Norris,UNITED STATES,12000000,17768900.0,Golan-Globus Productions,"125.0,"
The Name of the Rose,R,Crime,1986,"September 24, 1986 (United States)",7.7,104000,JEAN-JACQUES ANNAUD,Umberto Eco,Sean Connery,WEST GERMANY,0,7153487.0,Constantin Film,"130.0,"
The Wraith,PG-13,Action,1986,"November 21, 1986 (United States)",6.0,15000,MIKE MARVIN,Mike Marvin,Charlie Sheen,UNITED STATES,2700000,3500000.0,New Century Entertainment Corporation,"93.0,"
The Color of Money,R,Drama,1986,"October 17, 1986 (United States)",7.0,77000,MARTIN SCORSESE,Walter Tevis,Paul Newman,UNITED STATES,13800000,52293982.0,Touchstone Pictures,"119.0,"
Hoosiers,PG,Drama,1986,"February 27, 1987 (United States)",7.5,44000,DAVID ANSPAUGH,Angelo Pizzo,Gene Hackman,UNITED KINGDOM,6000000,28607524.0,Cinema '84,"114.0,"
Heartbreak Ridge,R,Drama,1986,"December 5, 1986 (United States)",6.9,41000,CLINT EASTWOOD,James Carabatsos,Clint Eastwood,UNITED STATES,15000000,42724017.0,Jay Weston Productions,"130.0,"
Flight of the Navigator,PG,Adventure,1986,"August 1, 1986 (United States)",6.9,45000,RANDAL KLEISER,Mark H. Baker,Joey Cramer,UNITED STATES,9000000,18564613.0,Walt Disney Pictures,"90.0,"
Cobra,R,Action,1986,"May 23, 1986 (United States)",5.8,69000,GEORGE P. COSMATOS,Paula Gosling,Sylvester Stallone,UNITED STATES,25000000,49042224.0,Warner Bros.,"87.0,"
Peggy Sue Got Married,PG-13,Comedy,1986,"October 10, 1986 (United States)",6.4,34000,FRANCIS FORD COPPOLA,Jerry Leichtling,Kathleen Turner,UNITED STATES,18000000,41488348.0,TriStar Pictures,"103.0,"
The Mission,PG,Adventure,1986,"October 31, 1986 (United States)",7.4,57000,ROLAND JOFFÉ,Robert Bolt,Robert De Niro,UNITED KINGDOM,24500000,17502499.0,Warner Bros.,"125.0,"
Working Girls,Unrated,Drama,1986,"March 20, 1987 (United States)",6.6,780,LIZZIE BORDEN,Lizzie Borden,Louise Smith,UNITED STATES,0,1777378.0,Alternate Current,"93.0,"
Youngblood,R,Drama,1986,"January 31, 1986 (United States)",6.2,13000,PETER MARKLE,Peter Markle,Rob Lowe,UNITED STATES,0,15448384.0,Blueline Productions,"110.0,"
Three Amigos!,PG,Comedy,1986,"December 12, 1986 (United States)",6.5,70000,JOHN LANDIS,Steve Martin,Steve Martin,UNITED STATES,25000000,39246734.0,L.A. Films,"104.0,"
Maximum Overdrive,R,Action,1986,"July 25, 1986 (United States)",5.5,31000,STEPHEN KING,Stephen King,Emilio Estevez,UNITED STATES,10000000,7433663.0,De Laurentiis Entertainment Group (DEG),"98.0,"
Lucas,PG-13,Comedy,1986,"March 28, 1986 (United States)",6.9,15000,DAVID SELTZER,David Seltzer,Corey Haim,UNITED STATES,6000000,8200000.0,Lawrence Gordon Productions,"100.0,"
Friday the 13th Part VI: Jason Lives,R,Horror,1986,"August 1, 1986 (United States)",6.0,40000,TOM MCLOUGHLIN,Tom McLoughlin,Thom Mathews,UNITED STATES,3000000,19472057.0,Paramount Pictures,"86.0,"
The Money Pit,PG,Comedy,1986,"March 26, 1986 (United States)",6.4,54000,RICHARD BENJAMIN,David Giler,Tom Hanks,UNITED STATES,10000000,54999651.0,Amblin Entertainment,"91.0,"
Back to School,PG-13,Comedy,1986,"June 13, 1986 (United States)",6.6,29000,ALAN METTER,Rodney Dangerfield,Rodney Dangerfield,UNITED STATES,11000000,91258000.0,Orion Pictures,"96.0,"
Betty Blue,Unrated,Drama,1986,"November 7, 1986 (United States)",7.4,19000,JEAN-JACQUES BEINEIX,Philippe Djian,Jean-Hugues Anglade,FRANCE,0,2016851.0,Gaumont,"185.0,"
About Last Night,R,Comedy,1986,"July 2, 1986 (United States)",6.2,15000,EDWARD ZWICK,David Mamet,Rob Lowe,UNITED STATES,8500000,38702310.0,TriStar Pictures,"113.0,"
Critters,PG-13,Comedy,1986,"April 11, 1986 (United States)",6.1,32000,STEPHEN HEREK,Domonic Muir,Dee Wallace,UNITED STATES,2000000,13167232.0,New Line Cinema,"86.0,"
The Texas Chainsaw Massacre 2,Unrated,Comedy,1986,"August 22, 1986 (United States)",5.6,29000,TOBE HOOPER,L.M. Kit Carson,Dennis Hopper,UNITED STATES,4700000,8025872.0,Cannon Films,"101.0,"
Iron Eagle,PG-13,Action,1986,"January 17, 1986 (United States)",5.5,14000,SIDNEY J. FURIE,Kevin Alyn Elders,Louis Gossett Jr.,UNITED STATES,0,24159872.0,TriStar Pictures,"117.0,"
One Crazy Summer,PG,Comedy,1986,"August 8, 1986 (United States)",6.4,14000,SAVAGE STEVE HOLLAND,Savage Steve Holland,John Cusack,UNITED STATES,0,13431806.0,A&M Films,"93.0,"
From Beyond,R,Horror,1986,"October 24, 1986 (United States)",6.7,24000,STUART GORDON,H.P. Lovecraft,Jeffrey Combs,UNITED STATES,4500000,1261000.0,Empire Pictures,"85.0,"
Sid and Nancy,R,Biography,1986,"November 7, 1986 (United States)",7.0,30000,ALEX COX,Alex Cox,Gary Oldman,UNITED KINGDOM,4000000,2850707.0,Initial Pictures,"112.0,"
Henry: Portrait of a Serial Killer,Unrated,Biography,1986,"September 7, 1990 (United States)",7.0,33000,JOHN MCNAUGHTON,Richard Fire,Michael Rooker,UNITED STATES,111000,609939.0,Maljack Productions,"83.0,"
Mona Lisa,R,Crime,1986,"June 13, 1986 (United States)",7.3,14000,NEIL JORDAN,Neil Jordan,Bob Hoskins,UNITED KINGDOM,0,5794184.0,HandMade Films,"104.0,"
Police Academy 3: Back in Training,PG,Comedy,1986,"March 21, 1986 (United States)",5.4,43000,JERRY PARIS,Neal Israel,Steve Guttenberg,CANADA,0,43579163.0,Police Academy Productions,"83.0,"
Night of the Creeps,R,Comedy,1986,"August 22, 1986 (United States)",6.8,22000,FRED DEKKER,Fred Dekker,Jason Lively,UNITED STATES,5000000,591366.0,TriStar Pictures,"88.0,"
The Sacrifice,PG,Drama,1986,"May 9, 1986 (Sweden)",8.1,26000,ANDREI TARKOVSKY,Andrei Tarkovsky,Erland Josephson,SWEDEN,0,167292.0,Svenska Filminstitutet (SFI),"149.0,"
The Hitcher,R,Action,1986,"February 21, 1986 (United States)",7.2,45000,ROBERT HARMON,Eric Red,Rutger Hauer,UNITED STATES,6000000,5844868.0,HBO Pictures,"97.0,"
Rad,PG,Drama,1986,"March 28, 1986 (United States)",6.9,5600,HAL NEEDHAM,Sam Bernard,Bart Conner,UNITED STATES,0,2015882.0,TaliaFilm II Productions,"91.0,"
An American Tail,G,Animation,1986,"November 21, 1986 (United States)",6.9,50000,DON BLUTH,Judy Freudberg,Dom DeLuise,UNITED STATES,0,84542002.0,Universal Pictures,"80.0,"
SpaceCamp,PG,Adventure,1986,"June 6, 1986 (United States)",5.7,13000,HARRY WINER,Clifford Green,Kate Capshaw,UNITED STATES,18000000,9697739.0,ABC Motion Pictures,"107.0,"
Raw Deal,R,Action,1986,"June 6, 1986 (United States)",5.6,32000,JOHN IRVIN,Luciano Vincenzoni,Arnold Schwarzenegger,UNITED STATES,8500000,16209459.0,De Laurentiis Entertainment Group (DEG),"106.0,"
Hannah and Her Sisters,PG-13,Comedy,1986,"March 14, 1986 (United States)",7.9,68000,WOODY ALLEN,Woody Allen,Mia Farrow,UNITED STATES,6400000,40084041.0,Orion Pictures,"107.0,"
The Great Mouse Detective,G,Animation,1986,"July 2, 1986 (United States)",7.2,46000,DIRECTORS,Peter Young,Vincent Price,UNITED STATES,14000000,38625550.0,Walt Disney Pictures,"74.0,"
Ruthless People,R,Comedy,1986,"June 27, 1986 (United States)",6.9,27000,JIM ABRAHAMS,Dale Launer,Bette Midler,UNITED STATES,13000000,71624879.0,Touchstone Pictures,"93.0,"
The Transformers: the Movie,PG,Animation,1986,"August 8, 1986 (United States)",7.3,38000,NELSON SHIN,Ron Friedman,Orson Welles,UNITED STATES,6000000,5860601.0,Sunbow Productions,"84.0,"
Wildcats,R,Comedy,1986,"February 14, 1986 (United States)",6.1,12000,MICHAEL RITCHIE,Ezra Sacks,Goldie Hawn,UNITED STATES,0,26285544.0,Hawn / Sylbert Movie Company,"106.0,"
Troll,PG-13,Comedy,1986,"January 17, 1986 (United States)",4.5,9500,JOHN CARL BUECHLER,John Carl Buechler,Michael Moriarty,ITALY,1100000,5450815.0,Empire Pictures,"82.0,"
At Close Range,R,Crime,1986,"April 18, 1986 (United States)",7.0,15000,JAMES FOLEY,Elliott Lewitt,Sean Penn,UNITED STATES,6500000,2347000.0,Hemdale,"111.0,"
The Boy Who Could Fly,PG,Drama,1986,"August 15, 1986 (United States)",6.5,5600,NICK CASTLE,Nick Castle,Lucy Deakins,UNITED STATES,0,7177431.0,Lorimar Film Partners,"114.0,"
Something Wild,R,Comedy,1986,"November 7, 1986 (United States)",6.9,17000,JONATHAN DEMME,E. Max Frye,Jeff Daniels,UNITED STATES,7000000,8362969.0,Religioso Primitiva,"114.0,"
Heartburn,R,Comedy,1986,"July 25, 1986 (United States)",6.1,10000,MIKE NICHOLS,Nora Ephron,Meryl Streep,UNITED STATES,20000000,25314189.0,Paramount Pictures,"108.0,"
Crossroads,R,Drama,1986,"March 14, 1986 (United States)",7.1,15000,WALTER HILL,John Fusco,Ralph Macchio,UNITED STATES,0,5839031.0,Columbia Pictures,"99.0,"
